VARIABLES = "x","y-y0","u"
ZONE T="x=0.75"
 7.500000000E-01 0.000000000E+00 0.000000000E+00
 7.500000000E-01 4.962086564E-07 4.543675110E-03
 7.500000000E-01 9.916723229E-07 9.089218453E-03
 7.500000000E-01 1.487135933E-06 1.363848336E-02
 7.500000000E-01 1.982599542E-06 1.819331571E-02
 7.500000000E-01 2.478063152E-06 2.275557257E-02
 7.500000000E-01 2.977252052E-06 2.732709982E-02
 7.500000000E-01 3.476440952E-06 3.190975636E-02
 7.500000000E-01 3.975629625E-06 3.650539741E-02
 7.500000000E-01 4.478543815E-06 4.111588374E-02
 7.500000000E-01 4.981458005E-06 4.574307054E-02
 7.500000000E-01 5.488097486E-06 5.038883537E-02
 7.500000000E-01 5.998462257E-06 5.505503714E-02
 7.500000000E-01 6.508827028E-06 5.974353850E-02
 7.500000000E-01 7.022917089E-06 6.445622444E-02
 7.500000000E-01 7.537007150E-06 6.919497252E-02
 7.500000000E-01 8.058547792E-06 7.396166027E-02
 7.500000000E-01 8.580088434E-06 7.875815779E-02
 7.500000000E-01 9.105354366E-06 8.358635753E-02
 7.500000000E-01 9.638070878E-06 8.844815940E-02
 7.500000000E-01 1.017078739E-05 9.334542602E-02
 7.500000000E-01 1.070722919E-05 9.828007221E-02
 7.500000000E-01 1.125112158E-05 1.032539606E-01
 7.500000000E-01 1.179873925E-05 1.082689911E-01
 7.500000000E-01 1.235008222E-05 1.133270487E-01
 7.500000000E-01 1.290515047E-05 1.184299961E-01
 7.500000000E-01 1.346766931E-05 1.235797107E-01
 7.500000000E-01 1.403391343E-05 1.287780553E-01
 7.500000000E-01 1.460760814E-05 1.340268999E-01
 7.500000000E-01 1.518502813E-05 1.393280625E-01
 7.500000000E-01 1.576989962E-05 1.446833909E-01
 7.500000000E-01 1.636222078E-05 1.500946581E-01
 7.500000000E-01 1.696199251E-05 1.555636525E-01
 7.500000000E-01 1.756548954E-05 1.610921621E-01
 7.500000000E-01 1.818016244E-05 1.666818559E-01
 7.500000000E-01 1.879856063E-05 1.723344475E-01
 7.500000000E-01 1.942440940E-05 1.780515909E-01
 7.500000000E-01 2.006143404E-05 1.838348210E-01
 7.500000000E-01 2.070590926E-05 1.896857023E-01
 7.500000000E-01 2.135783507E-05 1.956057250E-01
 7.500000000E-01 2.201721145E-05 2.015962303E-01
 7.500000000E-01 2.268776370E-05 2.076585740E-01
 7.500000000E-01 2.336576654E-05 2.137939483E-01
 7.500000000E-01 2.405494524E-05 2.200034559E-01
 7.500000000E-01 2.475157453E-05 2.262881249E-01
 7.500000000E-01 2.545937969E-05 2.326487750E-01
 7.500000000E-01 2.617836071E-05 2.390861809E-01
 7.500000000E-01 2.690851761E-05 2.456009090E-01
 7.500000000E-01 2.764612509E-05 2.521932721E-01
 7.500000000E-01 2.839863373E-05 2.588635981E-01
 7.500000000E-01 2.916231824E-05 2.656117678E-01
 7.500000000E-01 2.993717862E-05 2.724376619E-01
 7.500000000E-01 3.072321488E-05 2.793407142E-01
 7.500000000E-01 3.152042700E-05 2.863202989E-01
 7.500000000E-01 3.233254029E-05 2.933753431E-01
 7.500000000E-01 3.315955473E-05 3.005045950E-01
 7.500000000E-01 3.399774505E-05 3.077063560E-01
 7.500000000E-01 3.485083653E-05 3.149787188E-01
 7.500000000E-01 3.571882917E-05 3.223194182E-01
 7.500000000E-01 3.659799768E-05 3.297257125E-01
 7.500000000E-01 3.749579264E-05 3.371945322E-01
 7.500000000E-01 3.840848876E-05 3.447225094E-01
 7.500000000E-01 3.933236076E-05 3.523056507E-01
 7.500000000E-01 4.027858449E-05 3.599398136E-01
 7.500000000E-01 4.123598410E-05 3.676202595E-01
 7.500000000E-01 4.221201016E-05 3.753419220E-01
 7.500000000E-01 4.320666267E-05 3.830992579E-01
 7.500000000E-01 4.421621634E-05 3.908863962E-01
 7.500000000E-01 4.524812175E-05 3.986971080E-01
 7.500000000E-01 4.629492832E-05 4.065247774E-01
 7.500000000E-01 4.736036135E-05 4.143624306E-01
 7.500000000E-01 4.844442083E-05 4.222028255E-01
 7.500000000E-01 4.955083205E-05 4.300385714E-01
 7.500000000E-01 5.067586972E-05 4.378619790E-01
 7.500000000E-01 5.182325913E-05 4.456652701E-01
 7.500000000E-01 5.298927499E-05 4.534405172E-01
 7.500000000E-01 5.417764260E-05 4.611797929E-01
 7.500000000E-01 5.538836194E-05 4.688752294E-01
 7.500000000E-01 5.662143303E-05 4.765190184E-01
 7.500000000E-01 5.787685586E-05 4.841036201E-01
 7.500000000E-01 5.915835573E-05 4.916215539E-01
 7.500000000E-01 6.046220733E-05 4.990657568E-01
 7.500000000E-01 6.178840704E-05 5.064294338E-01
 7.500000000E-01 6.314441271E-05 5.137063265E-01
 7.500000000E-01 6.452277012E-05 5.208905339E-01
 7.500000000E-01 6.592720456E-05 5.279765129E-01
 7.500000000E-01 6.736144132E-05 5.349595547E-01
 7.500000000E-01 6.882175512E-05 5.418353081E-01
 7.500000000E-01 7.030814595E-05 5.485998988E-01
 7.500000000E-01 7.182433910E-05 5.552502871E-01
 7.500000000E-01 7.337033458E-05 5.617838502E-01
 7.500000000E-01 7.494613237E-05 5.681984425E-01
 7.500000000E-01 7.655173249E-05 5.744927526E-01
 7.500000000E-01 7.818713493E-05 5.806658268E-01
 7.500000000E-01 7.985606499E-05 5.867171884E-01
 7.500000000E-01 8.155852265E-05 5.926471353E-01
 7.500000000E-01 8.329078264E-05 5.984560847E-01
 7.500000000E-01 8.506029553E-05 6.041450500E-01
 7.500000000E-01 8.686333604E-05 6.097154617E-01
 7.500000000E-01 8.869990415E-05 6.151690483E-01
 7.500000000E-01 9.057745046E-05 6.205078363E-01
 7.500000000E-01 9.248852439E-05 6.257342100E-01
 7.500000000E-01 9.443685121E-05 6.308506727E-01
 7.500000000E-01 9.642243094E-05 6.358600259E-01
 7.500000000E-01 9.844898887E-05 6.407651901E-01
 7.500000000E-01 1.005165250E-04 6.455692649E-01
 7.500000000E-01 1.026250393E-04 6.502754688E-01
 7.500000000E-01 1.047708065E-04 6.548869610E-01
 7.500000000E-01 1.069650025E-04 6.594072580E-01
 7.500000000E-01 1.092001767E-04 6.638395786E-01
 7.500000000E-01 1.114800543E-04 6.681872606E-01
 7.500000000E-01 1.138046355E-04 6.724537015E-01
 7.500000000E-01 1.161739201E-04 6.766422987E-01
 7.500000000E-01 1.185953588E-04 6.807562113E-01
 7.500000000E-01 1.210615010E-04 6.847987175E-01
 7.500000000E-01 1.235760719E-04 6.887730956E-01
 7.500000000E-01 1.261427969E-04 6.926823854E-01
 7.500000000E-01 1.287616760E-04 6.965296268E-01
 7.500000000E-01 1.314289839E-04 7.003178596E-01
 7.500000000E-01 1.341558964E-04 7.040498257E-01
 7.500000000E-01 1.369312376E-04 7.077283263E-01
 7.500000000E-01 1.397661836E-04 7.113560438E-01
 7.500000000E-01 1.426570088E-04 7.149356604E-01
 7.500000000E-01 1.456037135E-04 7.184696198E-01
 7.500000000E-01 1.486137480E-04 7.219603658E-01
 7.500000000E-01 1.516796619E-04 7.254101038E-01
 7.500000000E-01 1.548126311E-04 7.288211584E-01
 7.500000000E-01 1.580052049E-04 7.321956754E-01
 7.500000000E-01 1.612611086E-04 7.355355620E-01
 7.500000000E-01 1.645840675E-04 7.388427854E-01
 7.500000000E-01 1.679740817E-04 7.421193123E-01
 7.500000000E-01 1.714311511E-04 7.453668714E-01
 7.500000000E-01 1.749590010E-04 7.485871911E-01
 7.500000000E-01 1.785576314E-04 7.517818213E-01
 7.500000000E-01 1.822307677E-04 7.549524307E-01
 7.500000000E-01 1.859746844E-04 7.581002712E-01
 7.500000000E-01 1.897968323E-04 7.612269521E-01
 7.500000000E-01 1.936972112E-04 7.643337250E-01
 7.500000000E-01 1.976720960E-04 7.674219608E-01
 7.500000000E-01 2.017326624E-04 7.704927921E-01
 7.500000000E-01 2.058714599E-04 7.735472918E-01
 7.500000000E-01 2.100959391E-04 7.765865922E-01
 7.500000000E-01 2.144023747E-04 7.796119452E-01
 7.500000000E-01 2.188019425E-04 7.826240063E-01
 7.500000000E-01 2.232871921E-04 7.856239080E-01
 7.500000000E-01 2.278618485E-04 7.886126041E-01
 7.500000000E-01 2.325296373E-04 7.915907502E-01
 7.500000000E-01 2.372942836E-04 7.945593596E-01
 7.500000000E-01 2.421557874E-04 7.975190282E-01
 7.500000000E-01 2.471141634E-04 8.004704714E-01
 7.500000000E-01 2.521731076E-04 8.034145236E-01
 7.500000000E-01 2.573326346E-04 8.063518405E-01
 7.500000000E-01 2.626001951E-04 8.092828989E-01
 7.500000000E-01 2.679720637E-04 8.122082949E-01
 7.500000000E-01 2.734556911E-04 8.151287436E-01
 7.500000000E-01 2.790473518E-04 8.180447817E-01
